iteration,loss
1,0.5996544947367889
2,0.5920175202150824
3,0.5843227712415373
4,0.5767949074286101
5,0.5695973195393047
6,0.5624428887009806
7,0.5557495886455451
8,0.548896044094003
9,0.5425282728800143
10,0.536130784712357
11,0.5300860959537494
12,0.5243646956247022
13,0.5184441062664084
14,0.512992203110255
15,0.5071589342295657
16,0.502060655471741
17,0.49693693583862425
18,0.4915734971114975
19,0.4865436538220617
20,0.48161596944625024
21,0.47669998403359515
22,0.47197979593794204
23,0.46740405741842594
24,0.4627725399980633
25,0.4582564577089672
26,0.45383468397170246
27,0.4495418553855805
28,0.445446978304178
29,0.44105510098595685
30,0.4370502942926675
31,0.43302076633008535
32,0.4291047016851526
33,0.4252540066714262
34,0.421506422874133
35,0.41766781826479793
36,0.41424257078022836
37,0.41042163513218427
38,0.4068702990891547
39,0.40333486477797975
40,0.3999844435643901
41,0.3966379959420962
42,0.39326288367483025
43,0.3901803795395884
44,0.3867941994072354
45,0.3837596337682035
46,0.38064150712043326
47,0.3776456749463414
48,0.37469661081326755
49,0.3717727533762955
50,0.3687941713560389
51,0.36627133894047714
52,0.36335256277735384
53,0.3608612798108408
54,0.35796980499374853
55,0.35548482805305737
56,0.3528978956967428
57,0.35042420449923034
58,0.34794957220474054
59,0.34557514427141484
60,0.34327140970163667
61,0.34093195091996675
62,0.3387793659760308
63,0.3365930278539948
64,0.33443158237989357
65,0.3323280840510683
66,0.3302831289545165
67,0.32832411597716143
68,0.32638429054144735
69,0.3244715502376673
70,0.3226246533578037
71,0.3207961003730312
72,0.3190930832276529
73,0.3173019070988565
74,0.3158309989685011
75,0.3140573870383644
76,0.31230390845865363
77,0.3108379168776006
78,0.3092534821376647
79,0.30778177551693137
80,0.3062811369297744
81,0.30486299308092657
82,0.3034141481716126
83,0.3021089837382213
84,0.3007036730244385
85,0.29940519454747383
86,0.2981571706977581
87,0.2968258293145068
88,0.2957559924604593
89,0.29448848189533305
90,0.29328546906391384
91,0.2921493844820542
92,0.290995940775151
93,0.2899361597949658
94,0.2890504101073273
95,0.2880389514120603
96,0.28668218506161675
97,0.28571366410295074
98,0.2847383127866286
99,0.2838999711443769
100,0.2827636747481529
101,0.2819106937529839
102,0.28099423708961546
103,0.28005598466293696
104,0.27916502684694794
105,0.2782988886848032
106,0.277379006515187
107,0.27653975248483087
108,0.27597408783455446
109,0.27519520792893376
110,0.27411071463130965
111,0.2732634066351395
112,0.27258426329915375
113,0.2717931454843162
114,0.27096371567432326
115,0.2702751455079441
116,0.26948818741314257
117,0.26876649404746006
118,0.26801587519852815
119,0.2673160930768244
120,0.26667253143967273
121,0.26592952417923693
122,0.26528835033104087
123,0.2646016040183951
124,0.26389474830207615
125,0.2634048301335866
126,0.26250470350457394
127,0.26189361546425816
128,0.261443945049277
129,0.2606032591695823
130,0.259992275131549
131,0.25938385179649326
132,0.25869347564033424
133,0.25810992264806454
134,0.25753859521356354
135,0.2568728987076566
136,0.25628894924062706
137,0.25573864317512274
138,0.25507962303446197
139,0.2545516530311612
140,0.25406336130818713
141,0.2533799287047688
142,0.2528014911238061
143,0.25224051496735017
144,0.2516583395252948
145,0.25117430092944765
146,0.25062936865537916
147,0.24999675963284915
148,0.24948808227871971
149,0.24916657250575486
150,0.2485049744997077
151,0.247876331653038
152,0.24740630775338066
153,0.2468318134297803
154,0.24640099462945814
155,0.24580488570041914
156,0.24526689241063807
157,0.244796010940493
158,0.24428085188501675
159,0.24375682575427626
160,0.24354530870179183
161,0.24279681561047972
162,0.24236726417230475
163,0.24184994713009342
164,0.24126267906900203
165,0.24091243451060596
166,0.24032602521637178
167,0.23989875065778765
168,0.2397406880952024
169,0.2390301360582308
170,0.23858482712830192
171,0.2383874798128759
172,0.23756507032298912
173,0.23726160119842665
174,0.23677805473302674
175,0.23617277900344175
176,0.23572259303752258
177,0.23524996802959094
178,0.23488181389591417
179,0.23438572306094893
180,0.23395886160829538
181,0.23348647379312498
182,0.23306983054441976
183,0.23281884789547935
184,0.2322163725846711
185,0.2319416181579564
186,0.23152598868706462
187,0.23112573359742455
188,0.23064314915311246
189,0.23003672802844782
190,0.22963648399531775
191,0.22923496140463392
192,0.22883618585630588
193,0.22839243151785568
194,0.22819412341249584
195,0.22757657227122408
196,0.22710647184205837
197,0.226776973249923
198,0.2262734182396733
199,0.22592708306694725
200,0.2255387043352872
